erbärmlich	wretched	»Erbärmlich«, kommentierte Fred den Wurf.
das Rohr	pipe	Und direkt unter dem Ghul in der Dachkammer, der immer auf die Rohre klopft und stöhnt«– Doch Harry grinste breit:»Das ist das beste Haus, in dem ich je war.«
prickeln	tingle	»Das klingt ja prickelnd«– »Haut ab«, fauchte ihn Percy an.
der Kramladen	junk shop	Filibusters Fabelhaftem Nass zündendem Hitzefreiem Feuerwerk»eindeckten, und in einem winzigen Kramladen voll zerbrochener Zauberstäbe, schiefer Messingwaagen und alter Umhänge mit Zaubertrankflecken stießen sie auf Percy, tief versunken in ein kleines und elend langweiliges Buch namens Vertrauensschüler und ihr Weg zur Macht.
fabelhaft	fantastic	Filibusters Fabelhaftem Nass zündendem Hitzefreiem Feuerwerk»eindeckten, und in einem winzigen Kramladen voll zerbrochener Zauberstäbe, schiefer Messingwaagen und alter Umhänge mit Zaubertrankflecken stießen sie auf Percy, tief versunken in ein kleines und elend langweiliges Buch namens Vertrauensschüler und ihr Weg zur Macht.
der Abstecher	side trip	Auch eine Liste der neuen Bücher für das folgende Schuljahr war enthalten: Schüler der zweiten Klasse benötigen: Miranda Habicht: Lehrbuch der Zaubersprüche, Band 2 Gilderoy Lockhart: Tanz mit einer Todesfee Gilderoy Lockhart: Gammeln mit Gulen Gilderoy Lockhart: Ferien mit Vetteln Gilderoy Lockhart: Trips mit Trollen Gilderoy Lockhart: Abstecher mit Vampiren Gilderoy Lockhart: Wanderungen mit Werwölfen Gilderoy Lockhart: Ein Jahr bei einem Yeti Fred hatte seine Liste durchgesehen und spähte hinüber auf Harrys Blatt.
feilschen	haggle	»Ich bin etwas in Eile, Borgin, muß heute noch wichtige Geschäfte erledigen «– Sie begannen zu feilschen.
die Beleidigung	insult	»Ich hoffe, aus meinem Sohn wird mehr als ein Dieb oder Plünderer, Borgin«, sagte Malfoy kühl, und Mr Borgin setzte rasch nach: »Das sollte keine Beleidigung sein, Sir, keinesfalls «– »Sollten allerdings seine Schulnoten nicht besser werden«, sagte Mr Malfoy noch kühler, »könnte es durchaus sein, daß er so endet «– »Das ist nicht meine Schuld«, erwiderte Draco.
das Gift	poison	Es gibt Gerüchte über ein neues Muggelschutzgesetz – kein Zweifel, daß dieser flohgebissene Muggelfreund Arthur Weasley dahinter steckt «– Harry spürte, wie Zorn in ihm hochkochte. »- und wie Sie sehen, könnten einige dieser Gifte den Eindruck erwecken «– Verstehe vollkommen, Sir, natürlich«, sagte Mr Borgin.
der Ruhm	fame	»Ah, die Hand des Ruhmes!«, sagte Mr Borgin, ließ Mr Malfoys Liste liegen und schlurfte hinüber zu Draco.
schnurz	all the same	»Denen wäre das schnurz«, versicherte ihr Harry, »Dudley würde es für einen irren Witz halten, wenn ich irgendwo in einem Kamin verloren ginge, machen Sie sich darüber keine Gedanken «– »Nun denn« bist du bereit?«
barsch	short	»Wenn das so ist, können wir vielleicht auf die Liste zurückkommen«, sagte Mr Malfoy barsch.
kahl	bald	»Harry«, keuchte Mr Weasley, »wir haben gehofft, daß du nur einen Kamin zu weit geflogen bist«–Er rieb seine kahle glänzende Stelle am Kopf, »Molly ist ganz außer sich – sie kommt gleich «– »Wo bist du rausgekommen?«, fragte Ron.
stürzen	fall	»Mit solchen Leuten geben Sie sich ab, Weasley, und ich hatte gedacht, Ihre Familie könnte nicht noch tiefer sinken «– Es gab ein metallisches Klingen, als Ginnys Kessel durch die Luft flog; Mr Weasley hatte sich auf Mr Malfoy gestürzt und ihn mit dem Rücken gegen ein Bücherregal geworfen; Dutzende dickleibige Zauberbücher klatschten auf ihre Köpfe;»Pack ihn, Dad«, rief Fred oder George; Mrs Weasley kreischte»Nein, Arthur, nein«; die Menge wich blitzschnell zurück und warf noch mehr Regale um;»Meine Herren, bitte – bitte!«, rief der Verkäufer, und dann, lauter als alle andern -»Aufhören damit, meine Herren, aufhören «– Durch das Meer von Büchern watete Hagrid auf sie zu.
die Stelle	place	»Harry«, keuchte Mr Weasley, »wir haben gehofft, daß du nur einen Kamin zu weit geflogen bist«–Er rieb seine kahle glänzende Stelle am Kopf, »Molly ist ganz außer sich – sie kommt gleich «– »Wo bist du rausgekommen?«, fragte Ron.
schmollend	sulkily	»Was nützt das, wenn ich nicht in der Hausmannschaft bin?«, sagte Malfoy schmollend und sichtlich schlecht gelaunt.
die Sondergenehmigung	special permit	Sondergenehmigung von Dumbledore, damit er für Gryffindor spielen kann.
das Gehabe	demeanor	Kaum war die Tür ins Schloß gefallen, fiel auch das schmierige Gehabe von Mr Borgin ab.
schmierig	greasy	Kaum war die Tür ins Schloß gefallen, fiel auch das schmierige Gehabe von Mr Borgin ab.
die Befriedigung	satisfaction	»Nein, er hat verkauft «– »Also macht er sich Sorgen«, sagte Mr Weasley mit grimmiger Befriedigung.
die Öffentlichkeit	publicness	»Ein gutes Beispiel für deine Kinder – sich in aller Öffentlichkeit zu prügeln – was muß bloß Gilderoy Lockhart gedacht haben «– »Er war zufrieden«, sagte Fred, »hast du ihn nicht gehört, als wir gegangen sind?
verdorben	corrupted	»Verdorben bis in den Kern, die ganze Familie, das weiß doch jeder – einem Malfoy darf man nicht zuhören – böses Blut, das ist es – kommt jetzt – laßt uns von hier verschwinden.«
zerzausen	ruffle	Er setzte sich auf den einzigen freien Stuhl, sprang jedoch gleich wieder hoch und hob einen zerzausten grauen Federwisch hoch – zumindest sah es für Harry so aus, bis er sah, daß der Federwisch atmete.
kauen	chew	»Aah, wie gern würde ich Lucius Malfoy wegen irgendwas drankriegen«– »Sei bloß vorsichtig, Arthur«, sagte Mrs Weasley mit schneidender Stimme, während die Empfangskobolde sie mit einer Verbeugung hineinwiesen, »diese Familie bedeutet Ärger, beiß nicht mehr ab, als du kauen kannst «– »Du glaubst wohl, ich könnte es mit Lucius Malfoy nicht aufnehmen?«, sagte Mr Weasley entrüstet, doch gleich darauf lenkte ihn der Anblick von Hermines Eltern ab, die vor dem Schalter standen, der die große marmorne Halle durchmaß, und darauf warteten, daß Hermine sie vorstellte.
das Versteck	hiding	Harry beobachtete nervös, wie Draco mit neugierigem Blick auf die ausgestellten Waren seinem Versteck immer näher rückte.
gemeinsam	common	»Ich muß los und sie suchen«– Gemeinsam machten sie sich auf den Weg.
reizend	annoyed	»Eine Ehre – und den jungen Mr Malfoy hat er auch mitgebracht – wie reizend.
der Federwisch	feather duster	Er setzte sich auf den einzigen freien Stuhl, sprang jedoch gleich wieder hoch und hob einen zerzausten grauen Federwisch hoch – zumindest sah es für Harry so aus, bis er sah, daß der Federwisch atmete.
begutachten	(to) examine	Er hielt inne, um einen langen Henkersstrick zu begutachten, und las mit feixender Miene das Kärtchen, das an ein herrliches Opalhalsband geheftet war: Vorsicht: Nicht berühren.
jauchzen	(to) cheer	Den Grund dafür verkündete ein großes Banner, das über die Fenster im ersten Stock gespannt war: GILDEROY LOCKHART signiert seine Autobiographie ZAUBRISCHES ICH heute von 12 Uhr 30 bis 16 Uhr 30 »Wir können ihn hier treffen!«, jauchzte Hermine, »immerhin hat er fast alle Bücher auf unserer Liste geschrieben!«
erledigt	done, finished	Er trat näher, streckte die Hand nach dem Türgriff aus - »Das wär erledigt«, sagte Mr Malfoy am Ladentisch.
gewagt	risked	Der echte Lockhart trug einen vergißmeinnichtblauen Umhang, genau passend zu seinen Augen; ein Zauberer-Spitzhut saß gewagt schräg auf seinem gewellten Haar.
schräg	diagonal	Der echte Lockhart trug einen vergißmeinnichtblauen Umhang, genau passend zu seinen Augen; ein Zauberer-Spitzhut saß gewagt schräg auf seinem gewellten Haar.
hämisch	malicious	Er richtete sich auf und blickte in das Gesicht Draco Malfoys, der sein übliches hämisches Grinsen aufgesetzt hatte.
immerhin	at any rate	Den Grund dafür verkündete ein großes Banner, das über die Fenster im ersten Stock gespannt war: GILDEROY LOCKHART signiert seine Autobiographie ZAUBRISCHES ICH heute von 12 Uhr 30 bis 16 Uhr 30 »Wir können ihn hier treffen!«, jauchzte Hermine, »immerhin hat er fast alle Bücher auf unserer Liste geschrieben!«
die Schliche (pl.)	tricks	»Faszinierend!«, sagte er dann immer, wenn Harry ihm erzählte, wie man ein Telefon benutzte, »wirklich genial, wie viele Schliche die Muggel gefunden haben, um ohne Zauberei durchzukommen.«
die Gerätschaften (pl.)	tools	Böse Masken glotzten von den Wänden herab, eine Sammlung menschlicher Knochen lag auf dem Ladentisch und rostige, spitze Gerätschaften hingen von der Decke.
die Hüfte	hip	Der Verkäufer machte Anstalten, sie aufzuhalten, doch er reichte kaum bis zu Hagrids Hüfte und schien es sich anders zu überlegen.
entzückt	delighted	»Aber Sie sind ja Muggel!«, sagte Mr Weasley entzückt.
erstrecken	(to) stretch	Sein Bankguthaben hatte er bei den Dursleys nie erwähnt; er glaubte nämlich, daß ihr Entsetzen bei allem, was mit Zauberei zu tun hatte, sich nicht auf einen großen Haufen Gold erstrecken würde.
schäbig	shabby	Aus dem Schatten eines Hauseingangs heraus verfolgten ihn die Blicke zweier schäbig aussehender Zauberer, die sich hin und wieder Worte zumurmelten.
beklommen	uneasy	Harry genoß die halsbrecherische Spritztour zum Verlies der Weasleys, doch als das Schloß geöffnet wurde, wurde ihm plötzlich ganz komisch, noch beklommener als in der Nokturngasse.
die Prise	pinch	Harry nahm die Brille ab und verstaute sie sicher in seiner Tasche, bevor er eine Prise Flohpulver nahm.
die Pferdekoppel	horse field	Harry, Ron, George und Fred wollten zu einer kleinen Pferdekoppel der Weasleys auf dem Hügel hinter dem Haus.
der Schnappschuss	snapshot	»Aus dem Weg da«, schnauzte er Ron an und trat für einen besseren Schnappschuß einen Schritt nach hinten, »ich bin vom Tagespropheten «– »Na, wenn das so ist«, sagte Ron und rieb sich den Fuß, auf den der Fotograf getreten war.
prügeln	beat	»Ein gutes Beispiel für deine Kinder – sich in aller Öffentlichkeit zu prügeln – was muß bloß Gilderoy Lockhart gedacht haben «– »Er war zufrieden«, sagte Fred, »hast du ihn nicht gehört, als wir gegangen sind?
die Werbung	advertising	Er hat den Typen vom Tagespropheten gebeten, ja die Schlägerei nicht zu vergessen – das sei die beste Werbung «– Es war ein niedergeschlagenes Grüppchen, das sich auf den Weg zum Kamin im Tropfenden Kessel machte, von wo aus Harry, die Weasleys und all ihre Einkäufe mittels Flohpulver zum Fuchsbau zurückreisten.
lahm	lame	»Errol«, sagte Ron, nahm die lahme Eule aus Percys Händen und zog einen Brief unter ihrem Flügel hervor.
der Bescheid	notice	Sag mir, sobald du kannst, Bescheid, was los ist.
das Entsetzen	horror	Sein Bankguthaben hatte er bei den Dursleys nie erwähnt; er glaubte nämlich, daß ihr Entsetzen bei allem, was mit Zauberei zu tun hatte, sich nicht auf einen großen Haufen Gold erstrecken würde.
treiben	drive	»Möchte wissen, was er eigentlich treibt«, sagte Fred stirnrunzelnd.
die Ankunft	arrival	Eines sonnigen Morgens, gut eine Woche nach Harrys Ankunft im Fuchsbau, erhielt er einen Brief aus Hogwarts.
blendend	dazzling	Seine blendend weißen Zähnen blitzten der Menge entgegen.
der Zwicker	pince-nez	»Ihnen ist natürlich zu Ohren gekommen, daß das Ministerium verstärkt Hausdurchsuchungen durchfährt«, sagte Mr Malfoy, zog eine Pergamentrolle aus der Tasche und wickelte sie für Mr Borgin auf»Ich habe ein paar – ähm – Gegenstände zu Hause, die mich in eine peinliche Lage bringen könnten, wenn die Leute vom Ministerium kämen«– Mr Borgin klemmte sich einen Zwicker auf die Nase und beugte sich über die Liste.
zögern	hesitate	Ohne Zögern trat er mitten ins Feuer, rief»Winkelgasse»und verschwand.
heil	safe	»Nun, es gibt furchtbar viele Zaubererfeuer, aus denen du wählen kannst, aber wenn du deutlich gesprochen hast «– »Er wird schon heil ankommen, Molly, mach's nicht kompliziert«, sagte Mr Weasley und nahm ebenfalls von dem Flohpulver.
klirrend	clinking	In dem Augenblick, als sie Harry sah, stieß sie ihre Haferbreischale vom Tisch, und laut klirrend landete diese auf dem Boden.
zappeln	(to) wriggle	»Und halt die Augen geschlossen«, sagte Mrs Weasley, »der Ruß «– »Zappel nicht rum«, sagte Ron, »sonst fällst du noch aus dein falschen Kamin «– »Aber gerat nicht in Panik und steig nicht zu früh aus.
der Abstand	distance, spacing	Sie flogen abwechselnd Harrys Nimbus Zweitausend, der mit Abstand der beste Besen war; Rons alter Shooting Star wurde nicht selten von vorbeifliegenden Schmetterlingen überholt.
fahl	pale	Er hatte das gleiche fahle, spitze Gesicht und die gleichen kalten grauen Augen.
tauchen	dive	Sie tauchte unter den Tisch, um die Schale aufzuheben, und als sie wieder hochkam, glühte ihr Gesicht wie die untergehende Sonne.
aufheben	pick up	Sie tauchte unter den Tisch, um die Schale aufzuheben, und als sie wieder hochkam, glühte ihr Gesicht wie die untergehende Sonne.
überholt	outdated, outmatched	Sie flogen abwechselnd Harrys Nimbus Zweitausend, der mit Abstand der beste Besen war; Rons alter Shooting Star wurde nicht selten von vorbeifliegenden Schmetterlingen überholt.
auffangen	(to) catch	Stattdessen warfen sie einander Äpfel zu, die sie auffangen mussten.
der Ruß	soot	»Und halt die Augen geschlossen«, sagte Mrs Weasley, »der Ruß «– »Zappel nicht rum«, sagte Ron, »sonst fällst du noch aus dein falschen Kamin «– »Aber gerat nicht in Panik und steig nicht zu früh aus.
in Beifall ausbrechen	applause	Das Publikum brach in Beifall aus.
besessen	obsessed	Harrys Gesicht brannte, als Lockhart ihm für den Fotografen die Hand schüttelte, der wie besessen ein Bild nach dem andern schoß und die Weasleys in dicken Rauch hüllte.
der Magen	stomach	Offenbar drehte er sich rasend schnell um sich selbst -um ihn her ein ohrenbetäubendes Tosen – er versuchte die Augen offen zu halten, doch der grüne Flammenwirbel legte sich ihm auf den Magen – etwas Hartes schlug gegen seinen Ellbogen, und er drückte ihn fest an die Seite, sich immer noch weiterdrehend – nun schienen kalte Hände gegen sein Gesicht zu klatschen »–durch die Brille blinzelnd sah er verschwommen einen Strom von Kaminen und kurz auch die Räume dahinter – in seinem Bauch rumorten die Schinkenbrote – er schloß die Augen und wünschte, es würde endlich aufhören, und dann - Mit dem Gesicht nach unten fiel er auf kalten
entgegen	towards	Eine alte Hexe stand vor ihm und hielt ihm eine Schale entgegen.
beneiden	envy	Es fiel ihm schwer, Ron nicht zu beneiden, wenn er an die Dursleys dachte und daran, wie sie ihn wohl willkommen heißen würden, wenn er das nächste Mal im Ligusterweg auftauchte.
Sonderausstattung	special equipment	Er hatte natürlich nicht mit Mr Weasleys Sonderausstattung gerechnet.
die Scheibe	disc	Als Harry, Ron, Fred, George und Percy endlich bequem auf der Rückbank Platz genommen hatten, spähte Mrs Weasley durch die Scheibe ins Wageninnere: »Die Muggel können doch mehr, als wir ihnen zutrauen, nicht wahr?
der Federkiel	quill	Schon beim ersten Hahnenschrei wachten sie auf, doch merkwürdigerweise hatten sie alle noch eine ganze Menge zu erledigen: Mrs Weasley hetzte schlecht gelaunt herum und suchte Sockenpaare und Federkiele zusammen.
zutrauen	(to) give credit	Als Harry, Ron, Fred, George und Percy endlich bequem auf der Rückbank Platz genommen hatten, spähte Mrs Weasley durch die Scheibe ins Wageninnere: »Die Muggel können doch mehr, als wir ihnen zutrauen, nicht wahr?
anhalten	(to) stop	Er hatte kaum Zeit, sich zu fragen, wann er es wieder sehen würde, als sie auch schon anhielten: George hatte seine Kiste mit Filibuster-Feuerwerk vergessen.
das Tagebuch	diary	Und sie waren kurz vor der Autobahn, als Ginny schreiend verkündete, sie habe ihr Tagebuch vergessen.
das Gemüt	nature	Als sie endlich wieder in den Wagen stieg, waren sie schon sehr spät dran und die Gemüter waren gereizt.
gereizt	irritated	Als sie endlich wieder in den Wagen stieg, waren sie schon sehr spät dran und die Gemüter waren gereizt.
das Weh	sore	Weh tat es nicht, aber sie mußten aufpassen, daß kein Muggel sie verschwinden sah.
sich vergewissern	make sure	Harry vergewisserte sich, daß Hedwigs Käfig verschlossen und der Koffer sicher festgezurrt war, und drehte seinen Gepäckwagen zur Absperrung hin.
die Absperrung	barrier	Harry vergewisserte sich, daß Hedwigs Käfig verschlossen und der Koffer sicher festgezurrt war, und drehte seinen Gepäckwagen zur Absperrung hin.
purzeln	tumble	Beide Karren knallten gegen die Absperrung und prallten zurück; mit lautem Krachen fiel Rons Koffer herunter, Harry verlor den Halt, der Käfig mit Hedwig purzelte auf den blank gewienerten Boden und empört kreischend schlitterte sie davon; die Leute um sie her starrten sie an und ein Wachmann in der Nähe rief.
die Tierquälerei	cruelty to animals	»Hatten die Karre nicht mehr im Griff«, keuchte Harry und richtete sich auf, die Hände an die Rippen gepreßt; Ron stürzte los, um Hedwig zu holen, die ein solches Theater veranstaltete, daß einige Umstehende von Tierquälerei zu munkeln begannen.
flau	slack	»Wir verpassen noch den Zug«, flüsterte Ron, »ich weiß nicht, warum das Tor sich verschlossen hat «– Harry sah mit einem flauen Gefühl in der Magengegend zu der riesigen Uhr hoch.
hölzern	wooden	Von Harry kam ein hölzernes Lachen.
die Klemme	clamp	»Wir können mit dem Wagen nach Hogwarts fliegen« »Aber ich dachte «– »Wir stecken in der Klemme, oder?
die Beschränkung	limitation	Und selbst minderjährige Zauberer dürfen in einem echten Notfall zaubern, Abschnitt neunzehn oder so des Erlasses zur Beschränkung des Weißichnichtwas«– Harrys Panik verwandelte sich jäh in Begeisterung.
knattern	rattle	Dann hörten sie ein lebhaftes Knattern und der Wagen, Harry und Ron tauchten wieder auf.
das Handschuhfach	glove compartment	Das ist die einzig wahre Art zu reisen, dachte Harry: vorbei an schneeigen Wolkenwirbeln und -türmchen, in einem von heißem, hellem Sonnenlicht durchfluteten Wagen, mit einer großen Packung Sahnebonbons im Handschuhfach und der Aussicht auf die neidischen Gesichter von Fred und George, wenn sie vor aller Augen sanft auf dem üppigen Rasen vor Schloß Hogwarts landen würden.
anmutig	graceful	London lag nun weit hinter ihnen, statt dessen sahen sie anmutige grüne Felder, die allmählich weitläufigen, purpurn schimmernden Mooren wichen, Weilern mit kleinen Spielzeugkirchen und einer großen Stadt, in der es von Autos nur so wimmelte, die an bunte Ameisen erinnerten.
der Weiler	hamlet	London lag nun weit hinter ihnen, statt dessen sahen sie anmutige grüne Felder, die allmählich weitläufigen, purpurn schimmernden Mooren wichen, Weilern mit kleinen Spielzeugkirchen und einer großen Stadt, in der es von Autos nur so wimmelte, die an bunte Ameisen erinnerten.
ereignislos	uneventful	Mehrere ereignislose Stunden später jedoch musste sich Harry eingestehen, daß er allmählich die Lust verlor.
das Steuer	steering wheel	»Na komm schon«, flehte Ron und rüttelte ein wenig am Steuer, »wir sind doch fast da, los «– Der Motor stöhnte auf.
das Sehnen	tendons	Er war durchgeknackst und fast entzweigebrochen; die Spitze hing lahm herab und wurde nur noch von ein paar Sehnen gehalten.
schmettern	(to) dash, (to) throw	In genau diesem Moment schlug etwas mit der Kraft eines rasenden Nashorns gegen seine Wagentür und schmetterte ihn gegen Ron, während zugleich ein ebenso heftiger Schlag das Dach traf.
der Ast	branch	»Was ist «– Ron starrte mit offenem Mund durch die Scheibe, und Harry folgte seinem Blick gerade noch rechtzeitig, um zu sehen, wie ein Ast, so dick wie eine Pythonschlange, auf sie einschlug.
der Hagel	hail	»Aaarh!«, sagte Ron, als ein weiterer Ast sich zurückbog und eine tiefe Delle in die Fahrertür schlug; die Windschutzscheibe zitterte nun unter einem Hagel von Schlägen knöchelartiger Zweiglein, und ein Ast, so dick wie ein Rammbock, hämmerte wild auf das Dach ein, das sich immer tiefer eindellte - »Raus hier, schnell!«, schrie Ron und warf sich mit aller Kraft gegen die Tür, doch schon schleuderte ihn ein teuflischer Aufwärtshaken in Harrys Schoß.
der Rammbock	battering ram	»Aaarh!«, sagte Ron, als ein weiterer Ast sich zurückbog und eine tiefe Delle in die Fahrertür schlug; die Windschutzscheibe zitterte nun unter einem Hagel von Schlägen knöchelartiger Zweiglein, und ein Ast, so dick wie ein Rammbock, hämmerte wild auf das Dach ein, das sich immer tiefer eindellte - »Raus hier, schnell!«, schrie Ron und warf sich mit aller Kraft gegen die Tür, doch schon schleuderte ihn ein teuflischer Aufwärtshaken in Harrys Schoß.
der Aufwärtshaken	uppercut	»Aaarh!«, sagte Ron, als ein weiterer Ast sich zurückbog und eine tiefe Delle in die Fahrertür schlug; die Windschutzscheibe zitterte nun unter einem Hagel von Schlägen knöchelartiger Zweiglein, und ein Ast, so dick wie ein Rammbock, hämmerte wild auf das Dach ein, das sich immer tiefer eindellte - »Raus hier, schnell!«, schrie Ron und warf sich mit aller Kraft gegen die Tür, doch schon schleuderte ihn ein teuflischer Aufwärtshaken in Harrys Schoß.
freilich	of course	Der Wagen freilich war nun am Ende seiner Kräfte.
spöttisch	mocking	Der grausame, spöttische und bei allen außer bei den Schülern seines eigenen Hauses (Slytherin) unbeliebte Snape unterrichtete Zaubertränke.
gekündigt	cancelled	»Vielleicht hat er gekündigt«, entgegnete Harry, »weil er wieder nicht Verteidigung gegen die dunklen Künste unterrichten darf!«
das Einmachglas	preserving jar	An den dunklen Wänden zogen sich Regale voller großer Einmachgläser entlang, in denen alle möglichen widerwärtigen Geschöpfe schwammen, deren Namen Harry im Moment nicht wußte.
das Geschöpf	creature	An den dunklen Wänden zogen sich Regale voller großer Einmachgläser entlang, in denen alle möglichen widerwärtigen Geschöpfe schwammen, deren Namen Harry im Moment nicht wußte.
das Trara	razzmatazz	Wollten hier mit großem Trara ankommen, nicht Wahr, die Herren« »Nein, Sir, die Absperrung in King’s Cross, sie«– »Ruhe«, sagte Snape kühl.
felsenfest	firm	»Zwei Londoner Muggel sind felsenfest überzeugt, daß sie einen alten Wagen über den Turm des Postamtes fliegen sahen« Als Mrs Hetty Bayliss in Norfolk um die Mittagszeit ihre Wäsche aufhängen wollte« Mr Angus Fleet aus Peebles schilderte der Polizei« Sechs bis sieben Muggel insgesamt.
überzeugt	convinced	»Zwei Londoner Muggel sind felsenfest überzeugt, daß sie einen alten Wagen über den Turm des Postamtes fliegen sahen« Als Mrs Hetty Bayliss in Norfolk um die Mittagszeit ihre Wäsche aufhängen wollte« Mr Angus Fleet aus Peebles schilderte der Polizei« Sechs bis sieben Muggel insgesamt.
das Bedauern	a regret	»Zu meinem größten Bedauern gehört ihr nicht zu meinem Haus, und die Entscheidung, euch von der Schule zu weisen, ist nicht meine Sache.
das Unheil	disaster	»Ich wünsche eine Erklärung«, sagte sie mit Unheil verkündend schimmernden Brillengläsern.
die Schilderung	description	Ron stürzte sich in die Schilderung ihrer Erlebnisse und begann bei der Absperrung, die sie nicht durchlassen wollte. »– also hatten wir keine Wahl, Professor, wir konnten den Zug nicht erreichen.«
das Erlebnis	experience	Ron stürzte sich in die Schilderung ihrer Erlebnisse und begann bei der Absperrung, die sie nicht durchlassen wollte. »– also hatten wir keine Wahl, Professor, wir konnten den Zug nicht erreichen.«
